,GBIF.common.name,LPI.common.name,species,Common.Name,id,Units,n,intercept,slope,intercept_SE,slope_SE,intercept_p,slope_p,meanpop,row,downloader,data.available,geographic.range,species.LPI,species.GBIF,maxlat,minlat,maxlong,minlong,countoccur,lengthlat,lengthlong,range
188,Herring gull,Herring gull,Larus argentatus,Herring gull,4901,Number of nests,13,55.10642654,-0.027462828,6.03358513,0.003032021,5.10E-07,5.60E-07,11613.33333,111,Claudia,Yes,partWorld,Larus argentatus,Larus argentatus,81.61,-23.6496,179.173,-179.4167,3165481,105.2596,358.5897,37745.00839
189,Hobby,Hobby,Falco subbuteo,Hobby,352,Index,27,-66.66960367,0.033794223,3.448627569,0.001738204,2.41E-17,2.08E-17,432.7586207,112,Claudia,Yes,partWorld,Falco subbuteo,Falco subbuteo,85.0083,-34.625,174.1105,-171.721,116885,119.6333,345.8315,41372.96359
190,House sparrow,House sparrow,Passer domesticus,House sparrow,418,Index,27,68.92573115,-0.034487197,5.348318174,0.002687573,4.77E-13,5.27E-13,171.7586207,113,Claudia,Yes,partWorld,Passer domesticus,Passer domesticus,90,-54.9337,178.475,-176.827,3521605,144.9337,355.302,51495.23348
191,Killer whale / Orca,Killer whale / Orca,Orcinus orca,Killer whale / Orca,10496,Killer whales per day,14,-5.262823529,0.002823529,29.63822804,0.014830197,0.861605195,0.85173624,26,115,Claudia,Yes,World,Orcinus orca,Orcinus orca,78.14531,-77.07878,177.45938,-176.6599152,1814,155.22409,354.1192952,54967.84535
192,Knot / Red knot,Knot / Red knot,Calidris canutus,Knot / Red knot,5980,Index 1973 = 100,19,19.31915742,-0.009564197,16.37341228,0.008265187,0.252598615,0.261545804,84.05238095,116,Claudia,Yes,World,Calidris canutus,Calidris canutus,83.0866,-53.7937,178.784,-176.436,188290,136.8803,355.22,48622.62017
193,Knot / Red knot,Knot / Red knot,Calidris canutus,Knot / Red knot,12680,Number of individuals,15,-81.49297718,0.041021489,25.2693878,0.012640976,0.005666575,0.005437402,1104,116,Claudia,Yes,World,Calidris canutus,Calidris canutus,83.0866,-53.7937,178.784,-176.436,188290,136.8803,355.22,48622.62017
194,Lesser black-backed gull,Lesser black-backed gull,Larus fuscus,Lesser black-backed gull,4902,Number of nests,11,-2.199770619,0.001314269,19.92356896,0.010004006,0.914072528,0.897851242,18550,118,Claudia,Yes,partWorld,Larus fuscus,Larus fuscus,80.38392,-63.0417,141.33,-161.87417,1938206,143.42562,303.20417,43487.24607
195,Lesser horseshoe bat,Lesser horseshoe bat,Rhinolophus hipposideros,Lesser horseshoe bat,7740,Index 1999=100,13,-133.5475029,0.066825248,9.31192261,0.004646657,2.40E-09,2.32E-09,135.5733333,119,Claudia,Yes,Europe,Rhinolophus hipposideros,Rhinolophus hipposideros,55.84216,0,122.346,-10.82495,35229,55.84216,133.17095,7436.553497
196,Linnet / Eurasian linnet,Linnet / Eurasian linnet,Carduelis cannabina,Linnet / Eurasian linnet,265,Index,33,60.12967333,-0.030101842,6.410551992,0.003226205,7.85E-11,8.92E-11,143.9142857,122,Claudia,Yes ,Europe,Carduelis cannabina,Carduelis cannabina,80.38392,-37.85,144.97,-109.76721,373634,118.23392,254.73721,30118.57891
197,Little egret,Little egret,Egretta garzetta,Little egret,5135,Maximum number of nesting pairs,30,-26.40055201,0.013317644,6.501166102,0.003269347,0.000322917,0.000311896,29.125,124,Claudia,Yes,partWorld,Egretta garzetta,Egretta garzetta,80.38392,-47.7684,176.949,-179,151504,128.15232,355.949,45615.69015
198,Little tern,Little tern,Sternula albifrons,Little tern,9065,Number of pairs breeding in Wales,23,3.805155925,-0.001746362,13.85472267,0.006972638,0.786039476,0.804455972,59.8,126,Lisa,yes,partWorld,Sternula albifrons,Sternula albifrons,67.54858,-46.9317,176.457,-177.383,94464,114.48028,353.84,40507.70228
199,Little tern,Little tern,Sternula albifrons,Little tern,9065,Number of pairs breeding in Wales,23,3.805155925,-0.001746362,13.85472267,0.006972638,0.786039476,0.804455972,59.8,126,Lisa,yes,partWorld,Sternula albifrons,Sternula albifrons,67.54858,-46.9317,176.457,-177.383,94464,114.48028,353.84,40507.70228
200,Lumpfish / Lumpsucker,Lumpfish / Lumpsucker,Cyclopterus lumpus,Lumpfish / Lumpsucker,4927,Average catch - individualas per one hour fishing,21,-37.79218805,0.019257268,13.80553468,0.006965569,0.012338718,0.011613272,0.019869565,130,Lisa,yes,partWorld,Cyclopterus lumpus,Cyclopterus lumpus,71.23,0,69.05,-94.167,8504,71.23,163.217,11625.94691
201,Mallard / Common mallard,Mallard / Common mallard,Anas platyrhynchos,Mallard / Common mallard,5147,Index,29,58.32766641,-0.0290545,8.428544989,0.004237536,1.32E-07,1.57E-07,139.4706452,131,Lisa,yes,World,Anas platyrhynchos,Anas platyrhynchos,80.38392,-88.9917,178.308,-177.376,4750857,169.37562,355.684,60244.19802
202,Marsh tit,Marsh tit,Parus palustris,Marsh tit,417,Index,33,44.26614307,-0.022148244,3.588244391,0.001805837,6.60E-14,7.73E-14,132.4857143,133,Lisa,yes,partWorld,Parus palustris,Parus palustris,68.7,0,143.47,-8.71111,57578,68.7,152.18111,10454.84226
203,Mediterranean gull,Mediterranean gull,Larus melanocephalus,Mediterranean gull,5136,Maximum number of breeding pairs,27,-42.48311049,0.021430641,6.033131567,0.003031698,1.43E-07,1.34E-07,42,135,Lisa,yes,partWorld,Larus melanocephalus,Larus melanocephalus,70.50612,0,53.5417,-105.4838,13706,70.50612,159.0255,11212.27099
204,Natterer's bat,Natterer's bat,Myotis nattereri,Natterer's bat,7737,Index 1999 = 100,13,-163.1087603,0.0816305,9.63896665,0.004809852,3.09E-10,2.98E-10,137.4866667,141,Lisa,yes,partWorld,Myotis nattereri,Myotis nattereri,63.4077,5.689277475,131.46667,-10.1307,28836,57.71842252,141.59737,8172.77683
205,Noctule bat,Noctule bat,Nyctalus noctula,Noctule bat,7742,Index 1999 = 100,12,-143.8384467,0.071968122,26.43929443,0.013189943,0.000149985,0.000146176,115.2214286,144,Lisa,yes,partWorld,Nyctalus noctula,Nyctalus noctula,64.7565,0,121.321,-6.83415,28517,64.7565,128.15515,8298.878971
206,Northern gannet,Northern gannet,Morus bassanus,Northern gannet,11168,Apparently Occupied Nests (AON),13,-115.1191217,0.057926429,6.449634765,0.003234833,1.59E-10,1.52E-10,1777.866667,145,Lisa,yes,partWorld,Morus bassanus,Morus bassanus,80.38392,-33.99496,115.51667,-123.022,288762,114.37888,238.53867,27283.78591
207,Northern gannet,Northern gannet,Morus bassanus,Northern gannet,11173,Apparently Occupied Sites/Nests (AOS/N),9,-51.92612547,0.026341151,3.937908594,0.001982355,3.44E-07,3.22E-07,2544.181818,145,Lisa,yes,partWorld,Morus bassanus,Morus bassanus,80.38392,-33.99496,115.51667,-123.022,288762,114.37888,238.53867,27283.78591
208,Northern gannet,Northern gannet,Morus bassanus,Northern gannet,11181,Abundance Index (derived from Apparently Ocupied Nest/Sites counts),23,-81.71626374,0.041128871,1.034644232,0.000517837,1.64E-29,1.44E-29,135.36,145,Lisa,yes,partWorld,Morus bassanus,Morus bassanus,80.38392,-33.99496,115.51667,-123.022,288762,114.37888,238.53867,27283.78591
209,Northern gannet,Northern gannet,Morus bassanus,Northern gannet,1753,breeding population index (from graphic),18,-96.41064024,0.048553201,5.758384703,0.002885673,2.02E-12,1.86E-12,1037.5,145,Lisa,yes,partWorld,Morus bassanus,Morus bassanus,80.38392,-33.99496,115.51667,-123.022,288762,114.37888,238.53867,27283.78591
210,Osprey,Osprey,Pandion haliaetus,Osprey,1331,Number of pairs,30,-59.36540808,0.030025847,3.129456598,0.001573043,2.95E-18,2.48E-18,78.0625,151,Lisa,yes,World,Pandion haliaetus,Pandion haliaetus,85.0083,-69.8583,173.186,-171.721,1060361,154.8666,344.907,53414.57441
211,Pike / Northern pike,Pike / Northern pike,Esox lucius,Pike / Northern pike,1110,Kilograms of females,10,142.1005245,-0.071678322,26.90766511,0.013620665,0.00035711,0.000366756,400,153,Lisa,yes,partWorld,Esox lucius,Esox lucius,70.7167,-0.78927,176.8794,-165.28167,97218,71.50597,342.16107,24466.55921
212,Pike / Northern pike,Pike / Northern pike,Esox lucius,Pike / Northern pike,1111,Kilograms of females,10,151.400204,-0.076486014,37.7259172,0.019096866,0.00246546,0.002497462,641.6666667,153,Lisa,yes,partWorld,Esox lucius,Esox lucius,70.7167,-0.78927,176.8794,-165.28167,97218,71.50597,342.16107,24466.55921
213,Pink-footed goose,Pink-footed goose,Anser brachyrhynchus,Pink-footed goose,4651,Number of individuals,29,-71.51866246,0.036234535,5.153438252,0.002596164,2.45E-14,2.12E-14,145360.4839,154,Lisa,no_download,partWorld,Anser brachyrhynchus,Anser brachyrhynchus,80.7075,-31.16667,71.3083,-114.083,147848,111.87417,185.3913,20740.49781
214,Pogge,Pogge,Agonus cataphractus,Pogge,9247,mean number of individuals per 500000mÎ_ water,14,-56.67077774,0.028744694,30.11362619,0.015174374,0.080804858,0.07903264,8.8375,156,Lisa,yes,Europe,Agonus cataphractus,Agonus cataphractus,70.98127,0,30.74006,-55,2094,70.98127,85.74006,6085.938349
215,Purple sandpiper,Purple sandpiper,Calidris maritima,Purple sandpiper,12020,Number of individuals,13,116.4287338,-0.058198052,21.5928274,0.010828875,0.000122811,0.000126589,348,159,Ashleigh,yes,partWorld,Calidris maritima,Calidris maritima,81.05455,2.0083,66.0083,-162.0397,80193,79.04625,228.048,18026.33922
216,Purple sandpiper,Purple sandpiper,Calidris maritima,Purple sandpiper,12052,Number of individuals,21,56.54568331,-0.028125516,11.51257641,0.005762019,7.39E-05,7.94E-05,454.2608696,159,Ashleigh,yes,partWorld,Calidris maritima,Calidris maritima,81.05455,2.0083,66.0083,-162.0397,80193,79.04625,228.048,18026.33922
217,Razorbill,Razorbill,Alca torda,Razorbill,1583,breeding population index (from graphic),18,7.884166298,-0.003626714,18.9957765,0.009519267,0.683011668,0.707672487,95,160,Ashleigh,yes,partWorld,Alca torda,Alca torda,80.38392,-18.0083,131.126,-99,136995,98.39222,230.126,22642.60802
218,Razorbill,Razorbill,Alca torda,Razorbill,1584,breeding population index (from graphic),6,-98.34977232,0.049560904,9.280166076,0.004655776,4.16E-05,4.05E-05,148.125,160,Ashleigh,yes,partWorld,Alca torda,Alca torda,80.38392,-18.0083,131.126,-99,136995,98.39222,230.126,22642.60802
219,Razorbill,Razorbill,Alca torda,Razorbill,1589,breeding population index (from graphic),18,-90.28636364,0.045454545,6.946280958,0.003480958,1.38E-10,1.28E-10,146,160,Ashleigh,yes,partWorld,Alca torda,Alca torda,80.38392,-18.0083,131.126,-99,136995,98.39222,230.126,22642.60802
220,Razorbill,Razorbill,Alca torda,Razorbill,1585,breeding population index (from graphic),18,-80.84143253,0.040759794,18.95683869,0.009499754,0.000466412,0.000440161,147,160,Ashleigh,yes,partWorld,Alca torda,Alca torda,80.38392,-18.0083,131.126,-99,136995,98.39222,230.126,22642.60802
221,Red deer / Elk,Red deer / Elk,Cervus elaphus,Red deer / Elk,11166,Breeding Bird Survey Index of Abundance,11,-71.65260474,0.036016426,36.39194625,0.018181947,0.0746701,0.073157992,1.096153846,161,Ashleigh,yes,World,Cervus elaphus,Cervus elaphus,68.75,-46.1162,176.88876,-161.9,28755,114.8662,338.78876,38915.37746
222,Red deer / Elk,Red deer / Elk,Cervus elaphus,Red deer / Elk,11178,mature individuals,31,-18.81402867,0.009725388,7.377433989,0.003707211,0.015926277,0.013385274,282.7272727,161,Ashleigh,yes,World,Cervus elaphus,Cervus elaphus,68.75,-46.1162,176.88876,-161.9,28755,114.8662,338.78876,38915.37746
223,Red kite,Red kite,Milvus milvus,Red kite,385,Number of breeding pairs,29,-42.49106681,0.021492931,5.666905518,0.002854835,2.90E-08,2.68E-08,94.82258065,163,Ashleigh,yes,partWorld,Milvus milvus,Milvus milvus,80.38392,-3.3407,59.43414,-110.45059,66754,83.72462,169.88473,14223.53446
224,Red kite,Red kite,Milvus milvus,Red kite,5141,Number of breeding pairs,14,-124.4793573,0.062446967,11.35750813,0.005683001,2.97E-08,2.87E-08,170.625,163,Ashleigh,yes,partWorld,Milvus milvus,Milvus milvus,80.38392,-3.3407,59.43414,-110.45059,66754,83.72462,169.88473,14223.53446
225,Redshank / Common redshank,Redshank / Common redshank,Tringa totanus,Redshank / Common redshank,1340,Index,19,-16.4442335,0.00859285,20.02665874,0.010109321,0.421763343,0.405913032,96.24285714,168,Ashleigh,yes,World,Tringa totanus,Tringa totanus,80.38392,-38.34381,153.08,-119.06,465824,118.72773,272.14,32310.56444
226,Reed bunting,Reed bunting,Emberiza schoeniclus,Reed bunting,346,Index,33,51.83797777,-0.02594199,6.797284341,0.003420834,8.89E-09,1.00E-08,127.1142857,169,Ashleigh,yes,partWorld,Emberiza schoeniclus,Emberiza schoeniclus,80.38392,-11,175.88333,-99,631097,91.38392,274.88333,25119.91624
227,Roseate tern,Roseate tern,Sterna dougallii,Roseate tern,1858,Breeding pairs,12,119.9088645,-0.05978022,27.04648526,0.013533365,0.000816167,0.000839626,8.571428571,175,Ashleigh,yes,World,Sterna dougallii,Sterna dougallii,80.38392,-69.9583,167.332,-171.792,22823,150.34222,339.124,50984.65502
228,Roseate tern,Roseate tern,Sterna dougallii,Roseate tern,1861,Breeding pairs,12,-115.6214463,0.057993619,24.91987682,0.012469265,0.000570452,0.000559556,47.28571429,175,Ashleigh,yes,World,Sterna dougallii,Sterna dougallii,80.38392,-69.9583,167.332,-171.792,22823,150.34222,339.124,50984.65502
229,Roseate tern,Roseate tern,Sterna dougallii,Roseate tern,1862,Breeding pairs,12,-48.41307114,0.024407172,32.08416401,0.01605409,0.157185268,0.154335664,6.928571429,175,Ashleigh,yes,World,Sterna dougallii,Sterna dougallii,80.38392,-69.9583,167.332,-171.792,22823,150.34222,339.124,50984.65502
230,Roseate tern,Roseate tern,Sterna dougallii,Roseate tern,1866,Breeding pairs,12,100.6949241,-0.050235479,33.27079765,0.016647851,0.010534386,0.010711869,6.285714286,175,Ashleigh,yes,World,Sterna dougallii,Sterna dougallii,80.38392,-69.9583,167.332,-171.792,22823,150.34222,339.124,50984.65502
231,Roseate tern,Roseate tern,Sterna dougallii,Roseate tern,9062,Number of pairs breeding in Wales,23,93.42485462,-0.046783217,9.682414841,0.004872849,1.49E-09,1.64E-09,98.52,175,Ashleigh,yes,World,Sterna dougallii,Sterna dougallii,80.38392,-69.9583,167.332,-171.792,22823,150.34222,339.124,50984.65502
232,Ruddy duck,Ruddy duck,Oxyura jamaicensis,Ruddy duck,1325,Population size,28,-68.94640451,0.034968288,3.153911094,0.001589257,3.89E-19,3.27E-19,2946.166667,176,Ashleigh,yes,partWorld,Oxyura jamaicensis,Oxyura jamaicensis,80.38392,-77.0083,59.43414,-150.876,571474,157.39222,210.31014,33101.17982
233,Ruddy turnstone / Turnstone,Ruddy turnstone / Turnstone,Arenaria interpres,Ruddy turnstone / Turnstone,5969,Index 1973 = 100,19,-62.86663609,0.03195759,13.01786311,0.006571329,0.000116542,0.000107992,118.447619,177,Ashleigh,yes,World,Arenaria interpres,Arenaria interpres,83.0833,-70.0583,179.867,-179.478,354656,153.1416,359.345,55030.66825
234,Sand eel,Sand eel,Ammodytes marinus,Sand eel,1369,Spawning stock biomass (tonnes),15,-45.82592704,0.02340052,27.16618752,0.01370641,0.112307361,0.108380757,21874.70588,178,Ashleigh,yes,partWorld,Ammodytes marinus,Ammodytes marinus,67.4338,37.56667,41.2795,-74.83333,242,29.86713,116.11283,3467.956988
235,Sanderling,Sanderling,Calidris alba,Sanderling,5978,Index 1973 = 100,19,17.23967501,-0.008481084,18.80877101,0.00949454,0.370852742,0.382893409,105.0666667,179,Ashleigh,yes,World,Calidris alba,Calidris alba,82.5181,-70.0583,179.098,-177.376,363183,152.5764,356.474,54389.51961
236,Sandwich tern,Sandwich tern,Thalasseus sandvicensis,Sandwich tern,11189,Index of abundance where 1986 is taken as 100%,23,-4.285559441,0.00236014,14.86428926,0.007439536,0.775689863,0.753921233,108.92,180,Ashleigh,yes,partWorld,Thalasseus sandvicensis,Thalasseus sandvicensis,80.38392,-48.3969,80.3191,-118.051,198177,128.78082,198.3701,25546.26414
237,Sandwich tern,Sandwich tern,Thalasseus sandvicensis,Sandwich tern,9061,Number of pairs breeding in Wales,23,-20.67995338,0.010508159,10.42536274,0.005246751,0.059359873,0.057123437,479.6,180,Ashleigh,yes,partWorld,Thalasseus sandvicensis,Thalasseus sandvicensis,80.38392,-48.3969,80.3191,-118.051,198177,128.78082,198.3701,25546.26414
238,Serotine bat,Serotine bat,Eptesicus serotinus,Serotine bat,7738,Index 1999 = 100,12,-136.0841164,0.06810738,14.59260103,0.007279906,7.57E-07,7.32E-07,111.8928571,183,Ashleigh,yes,partWorld,Eptesicus serotinus,Eptesicus serotinus,59.97258,17.7478,128.59111,-118.18954,11089,42.22478,246.78065,10420.25865
239,Short-eared owl,Short-eared owl,Asio flammeus,Short-eared owl,12166,Five-year running means of an index of annual totals,12,-36.92133709,0.01889024,38.21202629,0.019333138,0.353002524,0.347811282,14.66571429,185,Ashleigh,yes,World,Asio flammeus,Asio flammeus,80.38392,-54.8952,177.598,-178.313,80905,135.27912,355.911,48147.32688
240,Smooth snake,Smooth snake,Coronella austriaca,Smooth snake,10388,Number of individuals,11,187.224743,-0.093229351,19.83823405,0.009904243,1.31E-06,1.35E-06,37.07692308,187,Ashleigh,yes,Europe,Coronella austriaca,Coronella austriaca,62.21722,36.43,46.1097,-9.31,10731,25.78722,55.4197,1429.119996
241,Snow bunting,Snow bunting,Plectrophenax nivalis,Snow bunting,12081,Estimated number of wintering individuals,12,-55.46881784,0.028185121,38.581774,0.019461132,0.176082913,0.173159974,1090.928571,189,Isla,yes,partWorld,Plectrophenax nivalis,Plectrophenax nivalis,84.2,24.4068,179.05256,-179.478,248704,59.7932,358.53056,21437.68948
242,Snow bunting,Snow bunting,Plectrophenax nivalis,Snow bunting,12082,Index of annual totals based on 5-year running means,13,91.79786386,-0.046295248,19.57579968,0.009901747,0.000423279,0.000434044,0.862893333,189,Isla,yes,partWorld,Plectrophenax nivalis,Plectrophenax nivalis,84.2,24.4068,179.05256,-179.478,248704,59.7932,358.53056,21437.68948
243,Song thrush,Song thrush,Turdus philomelos,Song thrush,477,Index,33,52.22759956,-0.026138107,6.11806253,0.003079005,7.27E-10,8.26E-10,117.4857143,190,Isla,yes,partWorld,Turdus philomelos,Turdus philomelos,80.38392,-54.4989,178.546,-177.9,557909,134.88282,356.446,48078.44166
244,Soprano pipistrelle,Soprano pipistrelle,Pipistrellus pygmaeus,Soprano pipistrelle,7741,Index 1999 = 100,12,-125.8455931,0.062962844,32.11084331,0.016019346,0.002038435,0.00199714,112.3928571,191,Isla,yes,Europe,Pipistrellus pygmaeus,Pipistrellus pygmaeus,63.0879,34.91123,43.23,-10.13528,27153,28.17667,53.36528,1503.655884
245,Spotted flycatcher,Spotted flycatcher,Muscicapa striata,Spotted flycatcher,389,Index,33,70.55471578,-0.03527399,2.529757134,0.001273138,1.61E-24,1.98E-24,349.1142857,192,Isla,yes,partWorld,Muscicapa striata,Muscicapa striata,80.38392,-34.625,110.16517,-31.25322,269862,115.00892,141.41839,16264.3763
246,Tawny owl,Tawny owl,Strix aluco,Tawny owl,447,Index,33,48.44973545,-0.024074074,2.304908787,0.001159979,1.11E-20,1.65E-20,100.3714286,194,Isla,yes,Europe,Strix aluco,Strix aluco,80.38392,-4.075,127.10457,-90.37315,208843,84.45892,217.47772,18367.93336
247,Tree sparrow / Eurasian tree sparrow,Tree sparrow / Eurasian tree sparrow,Passer montanus,Tree sparrow / Eurasian tree sparrow,420,Index,33,72.18533166,-0.036157667,6.028665228,0.003034015,1.48E-13,1.68E-13,1020.6,197,Isla,yes,partWorld,Passer montanus,Passer montanus,80.38392,-38.91,167.741,-173.237,615898,119.29392,340.978,40676.60225
248,Tundra swan / Bewick's swan,Tundra swan / Bewick's swan,Cygnus columbianus,Tundra swan / Bewick's swan,12222,Population index,21,-80.08862419,0.040643834,9.199350918,0.004643765,2.07E-08,1.89E-08,162.2107783,199,Isla,yes,partEurope,Cygnus columbianus,Cygnus columbianus,69.4,50.31667,158.5,-176.75,265,19.08333,335.25,6397.686383
249,Tundra swan / Bewick's swan,Tundra swan / Bewick's swan,Cygnus columbianus,Tundra swan / Bewick's swan,12647,WeBS index,28,-41.24755743,0.021030288,9.639601135,0.0048574,0.000198074,0.000172701,2866.733333,199,Isla,yes,partEurope,Cygnus columbianus,Cygnus columbianus,69.4,50.31667,158.5,-176.75,265,19.08333,335.25,6397.686383
250,Western marsh harrier,Western marsh harrier,Circus aeruginosus,Western marsh harrier,317,Number of breeding pairs,26,-69.14128916,0.035007566,6.26923404,0.003160667,2.66E-11,2.42E-11,50.35714286,204,Isla,yes,partWorld,Circus aeruginosus,Circus aeruginosus,85.0083,-43.15,175.25,-179,237638,128.1583,354.25,45400.07778
251,White wagtail / Pied wagtail,White-tailed eagle,Haliaeetus albicilla,White-tailed eagle,5139,Number of territorial pairs,29,-54.57262407,0.027487593,3.761434677,0.001883524,7.91E-15,6.81E-15,21.80645161,206,Isla,yes,partWorld,Haliaeetus albicilla,Haliaeetus albicilla,80.38392,-17.2917,177.535,-171.744,177089,97.67562,349.279,34116.04288
252,Whooper swan,Whooper swan,Cygnus cygnus,Whooper swan,1282,Population estimate,27,-64.91233888,0.032863171,6.648820262,0.003344447,2.37E-10,2.07E-10,21204.65517,209,Isla,yes,partWorld,Cygnus cygnus,Cygnus cygnus,80.38392,-73.975,179.0465,-176.644,942106,154.35892,355.6905,54904.00143
253,Willow grouse / Red grouse / Willow ptarmigan,Willow grouse / Red grouse / Willow ptarmigan,Lagopus lagopus,Willow grouse / Red grouse / Willow ptarmigan,6022,Hens per km,13,-29.5010352,0.015139752,40.63855471,0.020483094,0.480743355,0.472961168,32.66666667,211,Isla,yes,partWorld,Lagopus lagopus,Lagopus lagopus,81.5,-60.0083,178.25,-179.60449,57770,141.5083,357.85449,50639.38053
254,Willow tit,Willow tit,Parus montanus,Willow tit,414,Index,33,60.70172774,-0.030319937,2.232541146,0.001123559,3.59E-24,4.56E-24,392.8,212,Isla,yes,partWorld,Parus montanus,Parus montanus,80.38392,30.0495,170.4239,-105.57724,154317,50.33442,276.00114,13892.3573
255,Wood lark,Wood lark,Lullula arborea,Wood lark,9143,Woodlark density (territories ha1),31,-52.45373111,0.02655077,6.244635899,0.003142565,1.73E-09,1.52E-09,0.068030303,215,Isla,yes,Europe,Lullula arborea,Lullula arborea,80.38392,0,135.137,-31.25322,128000,80.38392,166.39022,13375.09813
256,Wood nuthatch / Eurasian nuthatch,Wood nuthatch / Eurasian nuthatch,Sitta europaea,Wood nuthatch / Eurasian nuthatch,443,Index,33,-55.31999816,0.028057124,1.677483762,0.000844218,7.68E-27,5.99E-27,69.2,217,Isla,yes,partWorld,Sitta europaea,Sitta europaea,80.38392,18.83234,170.4239,-31.25322,524453,61.55158,201.67712,12413.54539